CreatorID,Creator_Wikidata_ID,Creator
3,Q6375726,Kate Pullinger
7,Q5109933,Christian Moeller
9,NA,Disney
11,NA,Barbara Davidson
14,NA,Fictiorama Studios
16,NA,Walter Pichler
17,Q96417562,Adam Harvey
18,NA,Anonymous
22,Q18342403,Liam Young
23,Q188273,Ubisoft
27,NA,John Cale
28,Q28132547,Zach Blas
32,Q7839361,Trevor Paglen
38,Q18023286,Les Levine
41,Q98411159,Camouflaj
43,Q32860574,Osmotic Studios
46,NA,Warm Lamp Games
48,NA,Niantic
50,Q17561297,Fullbright
52,Q4037348,Digital Pictures
54,Q19680180,Nicky Case
56,Q5239175,David Rokeby
60,Q96684990,Jeremy Bailey
62,NA,Clement Valla
64,NA,Bernhard Hopfengärnter
66,NA,Superflux
68,NA,Bjørn Erik Haugen
70,NA,Robbie Barrat
72,Q18920314,Steina Vasulka
74,Q322060,Douglas Coupland
78,Q23867507,Ilya Naishuller
81,NA,Edward Morgan Forster
83,Q31359093,Joy Buolamwini
87,Q21008480,Daito Manabe
88,NA,Kamitani Lab
91,NA,Playgen Ltd
93,Q151720,Ken Liu
95,Q277763,A-1 Pictures
97,NA,Ernest Cline
99,Q8877,Steven Spielberg
103,Q55422,David Cronenberg
105,Q558332,Michael Snow
107,Q727938,Jake Paltrow
109,Q28871477,Sougwen Chung
111,Q4756330,Andrew Benson
115,Q94415599,Anna Ridler
117,NA,Bureau of Inverse Technology (BIT)
119,NA,Kyle Mcdonald
120,Q58303084,Lauren McCarthy
124,Q666468,Lavie Tidhar
126,NA,iia
128,NA,PlatinumGames
130,Q90405658,Rival Games
132,Q238438,Nancy Kress
134,Q337910,Guerrilla Games
136,Q19827680,Scott Cawthon
138,NA,BBC
142,NA,Satô Ikurô
143,NA,Shin'ichirô Watanabe
145,NA,Veronique Ducharme
148,Q4767817,Annalee Newitz
150,NA,Sara Ludy
155,Q28935792,Faith Holland
158,NA,IOCOSE
160,NA,Kevin Fanning
161,Q1162833,Daniel Suarez
163,Q467497,Arne Garborg
166,NA,Nadav Assor
170,Q312853,Neal Stephenson
172,Q110436,Cory Doctorow
175,NA,Georgie Pinn
177,NA,Waltz Binaire
178,Q570081,Quantic Dream
181,NA,Prokop Bartoníček
182,Q83808309,Benjamin Maus
188,Q61483354,Mushon Zer-Aviv
189,NA,Stavy Dan
190,Q2545055,Molleindustria
191,NA,Eran Weissenstern
194,NA,Euros Lyn
196,Q2960837,Charlie Brooker
199,NA,Helena Nikonole
201,Q3335,George Orwell
205,NA,Coburn Tyler
207,NA,!Mediengruppe Bitnik
209,Q1892688,Marc Lee
211,Q20683898,James Bridle
214,NA,Vavarella Emilio
215,NA,Joanna Moll
219,NA,Dracola112
221,NA,the-third-person
223,NA,manen_lyset
225,NA,airshrimp777
227,NA,Red Barrels
230,NA,Sony Computer Entertainment Japan
232,NA,Zuzana Husárová
234,Q220317,Maxis
236,NA,Philips POV Entertainment
238,Q55767529,Mario Klingemann
248,Q16204354,Ann Leckie
264,Q540787,Warren Ellis
279,NA,Pisanthanakun Banjong
283,Q95008,John Carpenter
287,NA,Gary Ross
313,NA,Myron Dewey
314,NA,Josh Fox
324,Q21066751,Victoria Aveyard
331,Q21808729,Alan Walker
338,Q888152,Bob Mould
342,NA,The Get Out Clause
346,Q215215,John Mayer
350,NA,group inou
354,NA,Sour
357,Q242873,Ingrid Michaelson
365,Q110752448,Mood Killer
369,NA,Gojira
372,NA,Magali Barbe
386,Q164782,Ashton Kutcher
387,NA,Tyra Banks
392,Q234356,Janelle Monáe
396,NA,Russel T Davies
402,Q23261,Hideaki Anno
410,NA,Harris Blondman
415,Q167683,John Hamburg
420,NA,Thebe Neruda Kgositsile
431,Q190379,Ian McEwan
452,NA,Marvel
460,Q18519749,Jon Watts
467,Q295964,Jon Favreau
468,NA,Red Hot Chili Peppers
471,NA,Casino
491,Q545216,John Glen
496,NA,Don Broco
499,Q6060,50 Cent
506,NA,Chris Hales
511,Q108882642,Samantha Gorman
532,Q2159917,Robin Wasserman
569,NA,Ctrl Shift Face
572,NA,Scott Urban
575,NA,Marie Darrieussecq
576,Q19667905,Katja Novitskova
583,NA,Anna Mill
584,NA,Luke Jones
586,NA,Dave Eggers
588,Q228624,Suzanne Collins
590,Q23417143,Addie Wagenknecht
593,NA,Jakob Kudsk Steensen
596,NA,Etsuko Ichihara
599,Q23907082,Joaquin Fargas
605,Q19310220,Anne Bjørnstad
606,NA,Eilif Skodvin
610,NA,Alexandr Kessel
612,Q7290627,Rana Dasgupta
614,Q8941041,Chen Qiufan
618,NA,Dontnod Entertainment
623,NA,Mark Sample
624,Q4502677,Ron Hughart
631,NA,Jim Reardon
637,NA,Mark Kirkland
640,Q3120735,Wes Archer
652,NA,Tim Maughan
662,Q3176718,Jeffrey Nachmanoff
668,NA,Zaster
672,Q1680997,James Ponsoldt
680,Q43994,Matt Groening
683,Q7172726,Peter Baynham
695,Q1206920,Devin the Dude
701,NA,Guided by Voices
728,Q42574,James Cameron
728,NA,James Cameron
749,Q2531521,Kojima Productions
753,NA,Activision
756,NA,No Code
765,Q26702453,Greg Tiernan
806,Q55767418,Olan Rogers
818,NA,RIchard Mosse
830,Q360737,Andrew Niccol
838,NA,David E. Kelly
843,Q16736403,Sturgill Simpson
845,NA,Adam Kwapiński
854,NA,Stewart Sugg
866,Q3351886,Omar Naim
868,Q5531483,Gene Stupnitsky
879,NA,PABL
889,Q16663547,Martin Le Chevallier
890,Q389526,Bloober Team
891,NA,Next Games
892,Q67547,Harun Farocki
895,NA,Jogi Hofmüller
897,NA,Asia Bazdyrieva
898,NA,Orlov Alexey
899,Q105821263,Solveig Suess
901,NA,Tivon Rice
903,Q16298648,Jukka Hautamäki
905,NA,Dejan Marković
906,Q98762172,Max Dovey
909,Q104869991,Alice & Smith
911,NA,Maria Takeuchi
915,NA,Clifftop Games
929,Q7925905,Victor Fresco
933,Q44190,Radiohead
937,NA,Giles Price
941,Q93317679,Sam Lavigne
969,Q664673,Lauren Beukes
973,Q299933,Maureen F. McHugh
979,NA,Technocrat Games
989,NA,Amir Bastan
990,NA,Johannes Braumann
993,NA,Doug Rosman
996,Q503095,Ted Chiang
1015,Q229459,3D Realms
1023,NA,Said Polat
1025,NA,Fran Krause
1029,NA,Jonas Ersland
1032,NA,Valve
1034,Q1157042,Daedalic Entertainment
1036,Q29578855,Logic Artists
1038,NA,Bungie Studios
1040,Q94893,Rockstar North
1042,Q3022081,Unknown Worlds Entertainment
1045,NA,Eidos Montréal
1046,NA,Huyn Parke
1047,NA,Jinoon Choi
1048,NA,Sookyun Yang
1051,NA,Timm Burckhardt
1054,NA,Jin Ni
1055,NA,Huang Mingyuan
1056,NA,Zhengren Chen
1057,NA,Zhengyang Zhou
1061,NA,Yonlay Cabrera
1069,Q17183811,Iris Long
1070,NA,Hanbin Deng
1071,NA,Wu Tiancheng
1074,Q22958352,Memo Akten
1077,NA,hdoto
1080,NA,Nye Thompson
1083,Q102478968,Daniel Goldhaber
1087,Q374850,Damian Kindler
1092,NA,Freeda Beast
1100,Q188987,William Gibson
1108,Q1250139,Robert Longo
1117,Q207784,Square Enix
1123,Q19561563,Tim Miller
1126,NA,Stephen Moffat
1140,Q51281415,AFK
1145,NA,Tender Claws
1158,Q182950,Studio Ghibli
1165,Q55193,Dziga Vertov
1170,NA,Ministry of Broadcast Studio
1174,Q15232085,Lexis Numérique
1182,Q108569384,Tega Brain
1183,NA,Julian Oliver
1184,NA,Bengt Sjölén
1188,Q1544904,Greg Daniels
1195,Q7408607,Samanta Schweblin
1213,Q26704214,Jonas Lund
1216,Q19665830,Constant Dullaart
1219,Q16728530,Heather Dewey-Hagborg
1220,NA,Chelsea E. Manning
1221,NA,Sarah J Maas
1235,Q7577190,Spike Chunsoft
1236,Q54197034,Bjørn Vatne
1433,Q1985398,Nick Harkaway
1435,NA,Yao Wang
1439,NA,Paul W.S. Anderson
1449,NA,Song Han
1453,Q92678,Jason Rohrer
1455,Q1671616,Introversion Software
1457,Q2307159,Rocksteady Studios
1460,Q731482,Infinity Ward
1473,NA,Graziele Lautenschlaeger
1474,NA,Rosemary Lee
1475,NA,David Wiener
1476,NA,Aldous Huxley
1477,Q6774606,Martha Wells
1486,NA,Yû Irie
1497,NA,Simone C Niquille
1499,NA,Sanne Weekers
1504,NA,Jip van Leeuwenstein
1507,Q104558036,Jing-cai Liu
1510,Q95894756,Martin Backes
1515,NA,Leonardo Selvaggio
1541,Q98366,Hito Steyerl
1544,Q4749066,Amy Alexander
1552,NA,Hyphen-Labs
1555,NA,Ruben van de Ven
1558,NA,Barbara Nordhjem
1560,Q7132173,Paolo Cirio
1561,NA,Alessandro Ludovico
1567,NA,Sterling Crispin
1569,NA,Tomás Laurenzo
1571,Q28873423,Marnix de Nijs
1574,NA,RAFAEL LOZANO-HEMMER
1580,Q29022624,Diederik P. Kingma
1581,NA,Prafulla Dhariwal
1583,NA,Ars Electronica Futurelab (AT)
1596,Q918638,Funcom
1598,NA,Francisco Gallardo
1599,NA,Audrey Samson
1601,Q101208459,Karen Lancel
1602,NA,Hermen Maat
1609,Q28870552,Sarah Pinsker
1625,NA,Takayuki Todo
1634,NA,FRAUD
1637,NA,SHI Weili
1641,Q25298820,Becky Chambers
1661,NA,Anaisa Franco
1663,NA,Radamés Ajna
1664,NA,Thiago Hersan
1665,NA,Weiyi Li
1667,NA,GRUPO DE PESQUISA REALIDADES
1670,NA,Mari Nagem
1672,NA,Sara Lana
1678,NA,Bruno Moreschi
1679,NA,Gabriel Pereira
1680,NA,Guilherme Falcão
1681,NA,Bernardo Fontes
1683,NA,Nina Bamberg
1689,NA,Cristina Cochior
1701,NA,Cesar Baio
1703,NA,Fernando Velazquez
1705,Q8252886,Bruno Vianna
1708,Q19560575,Arcangel Constantini
1711,Q3877423,Nnedi Okorafor
1715,Q28092413,Sylvain Neuvel
1719,Q7383978,Ryan Coogler
1733,Q24928798,Pedro Aguilera
1739,NA,Chance Agency
1745,NA,Dan Goor
1746,NA,Michael Schur
1748,Q33157949,Jannik Tai Mosholt
1760,NA,Jan Klug
1761,NA,Otten Bert
1766,NA,Magid Jill
1770,Q463575,Andri Snær Magnason
1781,NA,Michelle Teran
1790,Q61725713,Manu Luksch
1793,Q277308,John Scalzi
1805,Q5236475,David Leitch
1808,NA,Jeffrey Jacob Abrams
1810,Q31180504,Studio Dragon
1826,NA,Wachowski Sisters
1827,Q715505,James Gunn
1842,NA,Chris Williams
1843,Q18921842,Don Hall
1847,Q349339,Doug Liman
1851,Q2451678,Gareth Edwards
1853,NA,Andrés Burbano
1855,Q21003393,Leo Nuñez
1872,NA,Estudio Biopus
1876,Q331376,Eduardo Kac
1879,Q548823,Denis Villeneuve
1891,NA,Brad Bird
1899,Q58640138,Arkady Martine
1916,Q433893,James Mangold
1924,NA,Alexandra Olivia
1926,NA,Francisco Laresgoiti
2033,NA,Shinseungback Kimyonghun
2043,NA,KairUs
2048,Q88536422,Bjarne Benjaminsen
2051,Q56005,Ridley Scott
2061,Q220751,Bryan Singer
2070,Q4717691,Alex Rivera
2073,NA,Anthony & Joseph Russo
2081,Q56192533,Rebecca Roanhorse
2085,Q4225496,Mary Robinette Kowal
2115,NA,STANZA
2117,NA,Silvia Ruzanka
2118,NA,Ben Chang
2119,NA,Dmitry Strakovsky
2121,NA,Daniel Iregui
2123,Q16734565,Everest Pipkin
2125,NA,Katia Vega
2153,NA,Rian Johnson
2194,Q51892574,Hatem Khraiche
2195,Q60784779,Bob Persichetti
2196,NA,Peter Ramsey
2197,NA,Rodney Rothman
2206,Q13563022,Mur Lafferty
2226,Q2870844,Audrey Fouché
2233,NA,Philipp Käßbohrer
2234,NA,Matthias Murmann
2236,Q109768606,Tlotlo Tsamaase
2239,NA,Dilman Dila
2249,NA,Simon Doury
2252,Q2444076,Joseph Kosinski
2261,Q3425142,Morten Tyldum
2271,NA,Stanley Kubrick
2276,NA,Arthur Charles Clarke
2290,Q782458,Aleksa Gajic
2291,NA,Nebojsa Andric
2292,NA,Stevan Djordjevic
2298,NA,Robert Rodriguez
2306,Q28028,Alfonso Cuarón
2310,NA,Rupert Sanders
2330,Q298025,Joss Whedon
2340,NA,Nicholas Olivieri
2341,NA,Shen Yi
2342,NA,Juliana De Lucca
2343,NA,Varun Nair
2345,NA,David Feliu
2351,Q2388576,Taika Waititi
2359,NA,Shankar Shanmugam
2371,Q97277398,Philippe Fernandez
2378,NA,Koduri Viswa Vijayendra Prasad
2396,NA,Ratheesh Balakrishnan Poduval
2408,Q302063,Aaron Guzikowski
2410,NA,Naren Shankar
2426,Q6115483,Jack Thorne
2432,NA,Lee Sang-Yeob
2446,NA,Imanbek Zeikenov
2447,Q26334949,Marshmello
2448,NA,Usher Raymond IV
2462,Q95242557,Lee Bacon
2470,Q1172164,CD Projekt RED
2471,Q11983315,Lars Mæhle
2516,Q6174634,Jeff Orlowski
2521,Q64748209,Sarah Gailey
2529,Q223687,Wes Anderson
2538,Q471215,Leigh Whannell
2545,Q2712084,Ivo Caprino
2571,Q23844,George Clooney
2577,NA,Charlie Jane Anders
2586,Q2082056,Ben Falcone
2598,Q40035,Richard Linklater
2606,Q21062531,Noelle Stevenson
2612,Q33198438,5 Lives Studios
2625,Q17465706,Benjanun Sriduangkaew
2626,NA,Megadeath
2631,NA,Nina Borge
2632,NA,Incubus
2654,Q16030835,Robert Findlay
2670,Q6984190,Neal Shusterman
2671,Q7384602,Ryan Turner
2676,NA,Keiichi Matsuda
2683,Q22075552,Courtney Marsh
2688,NA,Ruairi Robinson
2690,Q5557873,Giacomo Cimini
2695,NA,Factory Fifteen
2700,Q65115393,Nguyen-Anh Nguyen
2706,Q56754653,Claire G. Coleman
2711,NA,Adam B. Stein
2712,Q8063816,Zach Lipovsky
2717,Q2061388,Paul Muldoon
2723,NA,Mikael Håfström
2739,NA,Forensic Architecture
2746,Q2298950,Starbreeze Studios
2763,NA,Manetta Berends
2764,NA,Kate Crawford
2776,Q11974407,Hasse Hope
2788,Q5931173,Hugh Howey
2811,Q311891,Robert Kirkman
2819,Q3482619,Shu Lea Cheang
2825,NA,unmake lab
2834,Q2340010,Croteam
2840,Q178824,Blizzard Entertainment
2879,NA,Jump Over the Age
2893,NA,Freebird Games
2905,Q4051069,The Farm 51
2906,NA,James S.A. Corey
2926,Q1046593,Gearbox Software
2934,NA,Mimi Ọnụọha
2939,Q19267078,Agnieszka Kurant
2943,NA,Cosmic Logic
2945,Q57591655,Julia von Lucadou
2970,Q6318075,Justin Roiland
2971,NA,Mike McMahan
2974,Q61771325,Yudhanjaya Wijeratne
2976,NA,Ted Anderson
2977,NA,Jen Hickman
2984,Q106474348,GoodbyeWorld Games
2986,NA,Don't Look Team
2987,Q19601646,Peng!
3011,NA,Theodore Watson
3016,Q29098468,Seiko Mikami
3019,Q3300395,Maurice Benayoun
3030,NA,Mike Rianda
3031,NA,Jeff Rowe
3036,Q6709060,Lynn Hershman Leeson
3042,Q6387683,Ken Goldberg
3047,Q716367,Lev Manovich
3048,NA,Moritz Stefaner
3049,NA,Jay Chow
3050,Q219758,BioWare
3065,Q54564966,Christa Sommerer
3066,NA,Laurent Mignonneau
3081,Q22151,Muse
3085,NA,Jian Liu
3090,Q17097855,Toril Johannessen
3117,Q99336731,S.B. Divya
3146,NA,Iyo Bisseck
3149,NA,Nakeema Stefflbauer
3150,NA,Nushin Isabelle Yazdani
3156,NA,Melissa Huang
3159,NA,Nassem Navab
3163,NA,Romi Ron Morrison
3164,NA,Gan Golan
3165,NA,Raquel De Anda
3166,NA,Ligaiya Romero
3167,NA,Ayodamola Tanimowo Okunseinde
3168,NA,Yvette King
3169,NA,Julien Terrell
3170,NA,Pierre Mendy
3174,NA,b wijshijer
3177,NA,Harshit Agrawal
3180,NA,Sofia Crespo
3181,NA,Feileacan McCormick
3184,NA,Nouf Aljowaysir
3188,Q110822600,Jake Elwes
3193,NA,Meltem Şahin
3196,NA,Isabella Salas
3197,NA,Nora Isabel Golic
3200,NA,Nora Al-Badri
3201,NA,Jan Nikolai Nelles
3204,Q54947289,Tabita Rezaire
3208,NA,Marta Revuelta
3209,NA,Laurent Weingart
3212,Q272855,Kazuo Ishiguro
3222,NA,Dong-hyuk Hwang
3225,NA,Yufeng Deng
3250,NA,M.G. Wheaton
3260,NA,Eran May-Raz
3261,NA,Daniel Lazo
